year,panda_population,note
1974,2459,interpolated
1975,2459,census anchor
1976,2337,interpolated
1977,2214,interpolated
1978,2092,interpolated
1979,1970,interpolated
1980,1848,interpolated
1981,1725,interpolated
1982,1603,interpolated
1983,1481,interpolated
1984,1359,interpolated
1985,1236,interpolated
1986,1114,census anchor
1987,1142,interpolated
1988,1171,interpolated
1989,1199,interpolated
1990,1227,interpolated
1991,1256,interpolated
1992,1284,interpolated
1993,1312,interpolated
1994,1341,interpolated
1995,1369,interpolated
1996,1398,interpolated
1997,1426,interpolated
1998,1454,interpolated
1999,1483,interpolated
2000,1511,interpolated
2001,1539,interpolated
2002,1568,interpolated
